Key,TutorialUIType,Korean,English,Spanish,Japanese
TropicalAsset_2,None,트로피컬 레스토랑,Tropical Restaurant,,
TropicalAsset_3,None,트로피컬 보트,TropicalAsset_3,,
TropicalAsset_4,None,트로피컬 피크닉,TropicalAsset_4,,
TropicalAsset_5,None,트로피컬 바,TropicalAsset_5,,
TropicalAsset_6,None,트로피컬 조개,TropicalAsset_6,,
TropicalAsset_7,None,발리볼,TropicalAsset_7,,
JazzAsset_1,None,재즈 하우스,Jazz House,,
JazzAsset_2,None,재즈 캠핑,Jazz Camping,,
JazzAsset_3,None,재즈 피크닉,Jazz Picnic,,
JazzAsset_4,None,재즈 텃밭,Jazz Field,,
JazzAsset_5,None,재즈 풍차,Jazz Windmill,,
JazzAsset_6,None,재즈 피아노,Jazz Piano,,
JazzAsset_7,None,재즈 카페,Jazz Cafe,,
HalloweenAsset_1,None,공동묘지,Cemetery,,
HalloweenAsset_2,None,할로우 하우스,Hallow House,,
HalloweenAsset_3,None,마녀의 집,Witch House,,
HalloweenAsset_4,None,할로우 관,Coffin,,
HalloweenAsset_5,None,할로우 우물,Hallow Well,,
HalloweenAsset_6,None,해골 던전,Skull Dungeon,,
HalloweenAsset_7,None,할로우 호박마차,Pumpkin Carriage,,
WonderMusic_1,None,호두까기 인형,TheNutcracker,,
WonderMusic_2,None,블록 성,BlockCastle,,
WonderMusic_3,None,탱탱볼,BouncyBall,,
WonderMusic_4,None,모형기차,ToyTrain,,
WonderMusic_5,None,곰인형,TeddyBear,,
WonderMusic_6,None,솜사탕,CottonCandy,,
WonderMusic_7,None,뿅망치,ToyHammer,,
WonderMusic_8,None,토이랜드,ToyLand,,
VikingMusic_1,None,맥주,Beer,,
VikingMusic_2,None,노르딕 송,Nordic Song,,
VikingMusic_3,None,토르,Torr,,
VikingMusic_4,None,바이킹,Vikings,,
VikingMusic_5,None,상어 친구,Shark's Buddy,,
VikingMusic_6,None,레이븐,Raven,,
VikingMusic_7,None,라그나로크,Ragnarǫk,,
VikingMusic_8,None,발할라,Valhalla,,
CosmosMusic_1,None,미러볼,Mirror Ball,,
CosmosMusic_2,None,별,Star,,
CosmosMusic_3,None,은하,Galaxy,,
CosmosMusic_4,None,우주랜드,SpaceLand,,
CosmosMusic_5,None,금성,Venus,,
CosmosMusic_6,None,성운,Nebula,,
CosmosMusic_7,None,안드로메다,Andromeda,,
CosmosMusic_8,None,혜성,Comet,,
EDMMusic_1,None,디제이,DJ,,
EDMMusic_2,None,네온사인,Neon Sign,,
EDMMusic_3,None,네온시티,Neon City,,
EDMMusic_4,None,일렉트릭,Electric,,
EDMMusic_5,None,실루엣,Silhouette,,
EDMMusic_6,None,그루브,Groove,,
EDMMusic_7,None,불꽃,Spark,,
EDMMusic_8,None,클럽,Club,,
ArabianMusic_1,None,아라비안 나이트,Arabian Night,,
ArabianMusic_2,None,램프,Lamp,,
ArabianMusic_3,None,알라딘,Aladin,,
ArabianMusic_4,None,자스민,Jasmin,,
ArabianMusic_5,None,모래언덕,Sand Hill,,
ArabianMusic_6,None,오아시스,Oasis,,
ArabianMusic_7,None,황금빛,Golden,,
ArabianMusic_8,None,환상,Fantasy,,
TropicalMusic_1,None,발리볼,Volley Ball,,
TropicalMusic_2,None,파도,Waves,,
TropicalMusic_3,None,파티,Party,,
TropicalMusic_4,None,야자수,Palm Tree,,
TropicalMusic_5,None,칵테일,CockTail,,
TropicalMusic_6,None,해변,Beach,,
TropicalMusic_7,None,여름,Summer,,
TropicalMusic_8,None,석양,Sunset,,
JazzMusic_1,None,와인,Wine,,
JazzMusic_2,None,소울,Soul,,
JazzMusic_3,None,색소폰,Saxophone,,
JazzMusic_4,None,빈티지,Vitange,,
JazzMusic_5,None,대화,Talk,,
JazzMusic_6,None,감성,Vibes,,
JazzMusic_7,None,스윙,Swing,,
JazzMusic_8,None,재즈바,Jazz Bar,,
HalloweenMusic_1,None,호박,Pumpkin,,
HalloweenMusic_2,None,마녀,Witch,,
HalloweenMusic_3,None,달빛,MoonLight,,
HalloweenMusic_4,None,땅거미,Dusk,,
HalloweenMusic_5,None,트릭 오어 트릿,Trick or Treat,,
HalloweenMusic_6,None,유령의 집,Ghost House,,
HalloweenMusic_7,None,무덤,Grave,,
HalloweenMusic_8,None,환영,Illusion,,
T_Rock_0,MaskPopup,RSP 세상에 오신 용사님! 가위가 내려오면 주먹 버튼을 눌러주세요.,Welcome to the world of RSP! Press the fist button when scissors come down.,,
TR_Rock,None,가위가 내려오면 주먹 버튼을 눌러주세요.,Press the Rock button when paper comes down.,,
T_ScissorBtn_0,MaskPopup,보자기가 내려오면 가위 버튼을 눌러주세요.,Press the Scissor button when paper comes down.,,
T_PaperBtn_0,MaskPopup,주먹이 내려오면 보자기 버튼을 눌러주세요.,Press the Paper button when a fist comes down.,,
T_Flick_0,Popup,노트 위쪽에 화살표가 나왔어요. 이럴땐 버튼을 위로 올려 해치워주세요!,An arrow has appeared above the note. Swipe the button up to clear it!,,
T_Hold_0,Popup,링이 달린 노트가 내려오면 링이 모두 채워질 때까지 꾹 눌러주세요!,Hold the button until the tail on the note disappears.,,
T_ItemShield_0,Popup,실드는 공격을 3번 막아줘요. 이번에는 특별히 장착시켜드릴게요!,The shield blocks three attacks. I'll equip it for you this time!,,
T_ItemIncreaseHP_0,Popup,게임 시작 전 최대 체력이 늘어나요. 늘어난 체력으로 더 오래 살아남으세요!,Your max health increases before the game starts. Survive longer with it!,,
T_ItemHPPotion_0,Popup,체력 회복되는 수치가 올라가요. 아이템을 활용해 더 오래 살아남아보세요!,Health recovery increases. Use items to survive longer!,,
T_DrawMon_0,Popup,원반형 노트가 나오면 비겨야 해요! 같은 것을 내면 되니 참 쉽죠?,When a disc-shaped note appears aim for a draw! Just match the same type.,,
T_HitMon_0,Popup,제한 시간 안에 폭탄에 쓰여있는 숫자 만큼 마구 클릭해 폭탄을 제거해주세요.,Click the bomb rapidly as many times as the number written on it to defuse it.,,
T_DoubleWinMon_0,Popup,같은 노트 2개가 겹쳐 나와요! 차분히 앞의 노트 부터 처리하면 돼요.,Two identical notes overlap! Handle the front one first.,,
T_DoubleWinMon2_0,Popup,이제 서로 다른 것이 겹쳐 나올거에요! 앞의 노트 부터 처리하면 돼요.,Different notes will overlap! Handle the front one first.,,
T_DoubleDrawMon_0,Popup,비기는 노트 2개가 겹쳐 나와요. 차분히 앞의 노트부터 처리하면 돼요.,Two draw notes overlap. Handle the front one calmly.,,
T_DoubleDrawMon2_0,Popup,서로 다른 비겨 노트 2개가 겹쳐 나와요. 차분히 앞의 노트부터 처리하면 돼요.,Two different draw notes overlap. Handle the front one calmly.,,
T_ShyMon_0,Popup,조개로 위장한 노트를 해치우세요. 조개가 입을 벌릴 때를 기다리면 돼요!,Destroy the note disguised as a clam. Wait for it to open!,,
T_DoubleShyMon_0,Popup,조개 안에 더블 노트! 당황하지 말고 제거해주세요.,Double notes inside the clam! Don't panic remove them.,,
T_SecretMon_0,Popup,아무 버튼이나 클릭해 상자를 부숴 숨겨져 있던 노트를 해치우세요!,Click any button to break the box and eliminate hidden notes.,,
T_HTGMon_0,Popup,처음 보는 손 모양! 이건 우리 편이니 그냥 보내주세요.,A new hand shape! It’s on our side just let it pass.,,
T_JMPMon_0,Popup,라인을 점프하면서 오는 노트네요. 현혹당하면 안돼요!,It's a jumping note across the line. Don’t be distracted!,,
T_DSGMon_0,Popup,천막에 가려진 것을 알아야해요. 마지막 순간에는 사라지니 집중하세요!,Identify what's hidden behind the tent. It disappears at the last moment!,,
T_DoubleDSGMon_0,Popup,천막 속에 노트가 2개가 있을 수 있어요. 당황하지말고 처리해주세요!,There might be two notes inside the tent. Handle them without panic!,,
T_LoseMon_0,Popup,검은 노트가 나오면 져야 해요! 주먹이 나오면 가위버튼을 누르세요.,You must lose when the black note appears! Press the scissors button if a fist appears.,,
T_SCFMon_0,Popup,위로 가볍게 튕겨서 열 수 있어요. 보물 상자 안에 있는 노트를 제거하세요!,Flick upwards lightly to open. Clear the notes inside the treasure chest!,,
T_DoubleLoseMon_0,Popup,지는 노트 2개가 겹쳐서 나와요. 차분히 앞의 노트부터 처리하세요.,Two losing notes overlap. Handle the front one calmly.,,
T_DoubleLoseMon2_0,Popup,서로 다른 지는 노트 2개가 겹쳐나와요. 당황하지 말고 앞의 노트부터 처리하세요.,Two different losing notes overlap. Handle the front one without panic.,,
T_BRDMon_0,Popup,알에 새겨진 손의 모양과 같은 버튼을 4번 연타하면 부술 수 있어요.,Press the button matching the hand shape on the egg four times to break it.,,
T_SCHMon_0,Popup,4박자 동안 꾹 눌러 풍선을 부풀려 터트려주세요!,Hold down for four beats to inflate and pop the balloon!,,
T_ILUMon_0,Popup,저건 평범한 가위바위보가 아니군요. 아무 버튼을 눌러서 처리할 수 있습니다.,That's not regular rock-paper-scissors. Handle it by pressing any button.,,
T_PALMon_0,Popup,가위-바위-보는 서로 조화를 이뤄요. 빠진 하나를 찾아서 눌러주세요!,Rock-paper-scissors work in harmony. Find and press the missing one!,,
T_PCKMon_0,Popup,박자가 끝나기 전에 왼쪽부터 순서대로 같은 버튼을 눌러주세요!,Press the same button sequentially from the left before the beat ends!,,
NewArrival,None,새롭게 등장!,New Arrival!,,
Full,None,가득 참,Full,,
PlayCurLevelSubTitleHard,None,매우 어려워요,Super Hard,,
BonusLevel,None,보너스 레벨,Bonus Level,,
BossLevel,None,보스 레벨,Boss Level,,
Shield,None,수호자의 방패,Guardian's Shield,,
IncreasedHP,None,마스터의 물약,Master's Potion,,
IncreasedHealingHP,None,전설의 고기,Legend's Meat,,
ShieldDesc,None,한 게임당 최대 3번 miss를 방어할 수 있어요!,You can defend miss up to 3 times per game!,,
IncreasedHPDesc,None,최대 체력이 1.5배만큼 증가해요!,The maximum physical strength increases by 1.5 times!,,
IncreasedHealingHPDesc,None,10콤보마다 회복하는 체력이 2배로 증가해요!,Every 10 combos your strength to recover doubles!,,
Toast_NoCoinTitle,None,코인이 부족해요!,Not enough Coins!,,
Toast_NoInternetConnection,None,인터넷이 연결되어 있지 않아 접속이 불가능해요.,No internet connection.,,
Toast_UnexpectedError,None,예기치 못한 오류가 발생했습니다.,Unexpected error occurred.,,
Toast_BoostUnavailable,None,부스터를 사용할 수 없어요!,Booster cannot be used!,,
Toast_AdUnavailable,None,아직 광고를 볼 수 없어요.,Ads cannot be viewed yet.,,
Toast_HeartCharged,None,하트가 충전되었습니다!,Hearts have been recharged!,,
Toast_NoQuaver,None,음표가 부족해요!,Not enough Quavers!,,
Toast_ReachMaxStage,None,최대 달성 레벨에 도달했어요!,Reached,,
Toast_ComingSoon,None,준비 중 입니다.,Coming Soon,,
Toast_AdCharging1,None,광고 충전까지 ,Ad Charged in,,
Toast_AdCharging2,None,초 남았어요.,remaining!,,
Toast_FullHeart,None,하트가 가득찼어요.,Hearts are enough.,,
NoHeartTitle,None,하트가 부족해요!,Not enough hearts!,,
HeartTimerRemain1,None,다음 하트 추가까지,Hearts Charged in,,
HeartTimerRemain2,None,남았어요!,remaining!,,
MoreHeart,None,생명 더 얻기,More Heart,,
Training,None,훈련도감,Training,,
Toast_StorageUploadComplete,None,데이터 업로드를 완료하였습니다.,Data upload completed.,,
Toast_StorageUploadFailed,None,데이터 업로드를 실패하였습니다.,Data upload failed.,,
Toast_StorageDownloadComplete,None,데이터 다운로드를 완료하였습니다.,Data download completed.,,
Toast_StorageDownloadFailed,None,데이터 다운로드를 실패하였습니다.,Data download failed.,,
Toast_StorageDownloadFailedNoFile,None,다운로드할 데이터가 존재하지 않습니다.,The Data to download does not exist.,,
SaveData,None,내 진행도 저장하기,Save My Data,,
LoadData,None,내 진행도 불러오기,Load My Data,,
Toast_StorageUploadDateNotAvailable,None,데이터 업로드는 1일 1회만 가능합니다.,Data upload is allowed only once per day.,,
Toast_StorageDownloadDateNotAvailable,None,데이터 다운로드는 1일 1회만 가능합니다.,Data download is allowed only once per day.,,
Toast_AlreadyFriend,None,이미 친구 목록에 있습니다.,It's already on your friends list.,,
Toast_AlreadyReceiveFriend,None,이미 친구 신청을 보냈습니다.,You have already sent the friend request.,,
Toast_ReceiveFriendSuccess,None,친구 신청을 성공적으로 보냈습니다.,You have successfully sent the friend request.,,
Toast_RemoveFriend,None,친구 삭제를 완료하였습니다.,You have removed from friends list.,,
Toast_NoExistentUser,None,존재하지 않는 사용자입니다.,User does not exist.,,
Toast_AcceptFriend,None,친구가 되었습니다.,You have completed adding friends.,,
Toast_NoSearchText,None,UID를 입력해주세요!,Enter UID to search for.,,
Toast_CopyToClipboard,None,클립보드에 복사되었습니다.,Copied to Clipboard.,,
Popup_ConfirmRemoveFriend,None,삭제하시겠습니까?,Are you sure?,,
InGamePauseHeartInfoBox3,None,하트가 소모되지 않아요!,will not cost a heart!,,
TrainingPauseHeartInfoBox1,None,훈련을 잠깐 멈췄어요!,Training paused!,,
OkBtn,None,확인,OK,,
TrainingComplete,None,훈련 완료,Training Complete,,
ActionTutorial_Click,None,탭: 화면에 손가락을 가볍게 눌렀다 떼어주세요!,Tap: Lightly press and release your finger on the screen!,,
ActionTutorial_Hold,None,홀드: 링이 모두 채워질 때까지 화면을 눌러주세요!,Hold: Press and hold on the screen until the ring is fully filled!,,
ActionTutorial_Flick,None,플릭: 화면에 손가락을 데었다가 빠르게 드래그하며 떼어주세요!,Flick: Quickly drag and release your finger on the screen!,,
TrainingBtn,None,훈련하기,Start Training,,
MGEnter,None,순서대로 눌러주세요,Please press in order,,
MGMemorize,None,보여지는 순서대로 암기하세요,Memorize in the order shown,,
MinimumBonusCoin,None,최소 900 코인,Up to 900 coins,,
MaxStageofCurrentTown,None,최대 레벨 도달,Reached Maximum Level,,
Friends,None,친구,Friends,,
